id,amount,month,day,orig,dest
300,0.0717944,3,,Beijing,Liaoning
301,0.02372,3,,Beijing,Shanxi
302,0.012882,10,,Beijing,Tianjin
303,6.5,6,16,Guangdong,Guangdong
304,5,7,22,Guangdong,Guangdong
305,5,7,22,Guangdong,Guangdong
306,20,7,2,Beijing,Beijing
307,10,11,28,Beijing,Fujian
308,5,7,5,Beijing,Tianjin
309,1,6,24,Beijing,Hubei
310,16,10,17,Beijing,Beijing
311,15,6,24,Jiangsu,Jiangsu
312,3.333333333,2,14,Shanghai,Shanghai
313,3.333333333,2,14,Shanghai,Shanghai
314,3.333333333,2,14,Shanghai,Shanghai
315,2,11,1,Zhejiang,Shandong
316,1.5,12,20,Zhejiang,Hubei
317,1.5,5,29,Zhejiang,Zhejiang
318,10,7,8,Zhejiang,Zhejiang
319,5,6,12,Zhejiang,Shanghai
320,5,8,5,Guangdong,Guangdong
321,5,9,18,Guangdong,Guangdong
322,4.8,4,27,Guangdong,Guangdong
323,10,9,5,Guizhou,Guizhou
324,2,12,29,Guizhou,Guizhou
325,1,8,25,Guizhou,Guizhou
326,10,6,3,Guangdong,Beijing
327,2,11,6,Guangdong,Beijing
328,12,10,17,Tianjin,Tianjin
329,12,10,3,Shanghai,Shanghai
330,10,6,,Tianjin,Jiangsu
331,1.5,10,15,Tianjin,Jiangsu
332,0.2,10,15,Tianjin,Jiangsu
333,5,12,24,Guangdong,Hunan
334,5,12,31,Guangdong,Hunan
335,0.72,12,2,Guangdong,Hunan
336,10.38432149,9,7,Beijing,Tianjin
337,0.45,12,10,Hunan,Hunan
338,0.3,12,11,Hunan,Hunan
339,0.3,12,11,Hunan,Hunan
340,0.3,12,11,Hunan,Hunan
341,0.3,12,11,Hunan,Hunan
342,0.3,12,14,Hunan,Hunan
343,0.3,12,14,Hunan,Hunan
344,0.3,12,14,Hunan,Hunan
345,0.3,12,15,Hunan,Hunan
346,0.3,12,15,Hunan,Hunan
347,0.3,12,17,Hunan,Hunan
348,0.3,12,17,Hunan,Hunan
349,0.3,12,18,Hunan,Hunan
350,0.3,12,18,Hunan,Hunan
351,0.3,12,10,Hunan,Hunan
352,0.15,12,15,Hunan,Hunan
353,0.15,12,15,Hunan,Hunan
354,0.15,12,15,Hunan,Hunan
355,0.15,12,15,Hunan,Hunan
356,0.15,12,15,Hunan,Hunan
357,0.15,12,15,Hunan,Hunan
358,0.15,12,15,Hunan,Hunan
359,0.15,12,15,Hunan,Hunan
360,0.15,12,18,Hunan,Hunan
361,0.15,12,18,Hunan,Hunan
362,0.15,12,18,Hunan,Hunan
363,0.15,12,18,Hunan,Hunan
364,0.15,12,18,Hunan,Hunan
365,0.15,12,18,Hunan,Hunan
366,0.15,12,18,Hunan,Hunan
367,0.15,12,18,Hunan,Hunan
368,0.15,12,17,Hunan,Hunan
369,0.15,12,17,Hunan,Hunan
370,0.15,12,17,Hunan,Hunan
371,0.15,12,17,Hunan,Hunan
372,0.15,12,17,Hunan,Hunan
373,0.15,12,17,Hunan,Hunan
374,0.15,12,10,Hunan,Hunan
375,0.15,12,10,Hunan,Hunan
376,0.15,12,10,Hunan,Hunan
377,0.15,12,10,Hunan,Hunan
378,0.15,12,10,Hunan,Hunan
379,0.15,12,11,Hunan,Hunan
380,0.15,12,11,Hunan,Hunan
381,0.15,12,11,Hunan,Hunan
382,0.15,12,11,Hunan,Hunan
383,0.15,12,14,Hunan,Hunan
384,0.15,12,14,Hunan,Hunan
385,0.15,12,14,Hunan,Hunan
386,0.15,12,14,Hunan,Hunan
387,0.1,12,18,Hunan,Hunan
388,8,12,15,Fujian,Beijing
389,2,4,11,Fujian,Fujian
390,10,1,29,Hubei,Hubei
391,10,1,28,Hubei,Hubei
392,,12,18,Hubei,Hubei
393,10,2,27,Hebei,Beijing
394,10,9,3,,Sichuan
395,90,3,18,Guangdong,Guangdong
396,10,3,18,Guangdong,Guangdong
397,10,11,2,Beijing,Guangdong
398,9,9,30,Guangdong,Guangdong
399,1,9,30,Guangdong,Guangdong
400,10,6,24,Hong Kong,Jiangsu
401,10,9,10,Beijing,Liaoning
402,10,12,14,,Shanghai
403,10,7,N/A,Beijing,Beijing
404,9,9,22,Beijing,Beijing
405,1,9,22,Beijing,Beijing
406,5,11,9,Guangdong,Guangdong
407,5,11,9,Guangdong,Guangdong
408,10,3,16,Guangdong,Shanxi
409,10,5,4,Shanghai,Shanghai
410,10,12,30,Guangdong,Hunan
411,2900,9,18,Beijing,Beijing
412,9,11,,Beijing,Guangdong
413,9,10,12,Jiangxi,Hubei
414,5,9,29,Liaoning,Liaoning
415,2.5,10,19,Liaoning,Liaoning
416,1.25,10,27,Liaoning,Liaoning
417,0.073,1,26,,
418,5,2,1,Jiangsu,Jiangsu
419,1.8,,,Jiangsu,Jiangsu
420,1,1,20,Jiangsu,Jiangsu
421,0.8,1,,Jiangsu,Jiangsu
422,4,7,24,Beijing,Hainan
423,2,7,11,Beijing,Hubei
424,0.8,5,28,Beijing,Beijing
425,0.8,5,28,Beijing,Tianjin
426,0.8,5,28,Beijing,Wuhan
427,0.8,5,28,Beijing,Sichuan
428,0.8,5,28,Beijing,Shanghai
429,0.02171,5,29,Beijing,Shanxi
430,5,6,22,Guangdong,Guangdong
431,3,1,22,Hubei,Guangdong
432,8,2,23,Fujian,Fujian
433,7,12,24,Henan,Henan
434,1,11,27,Henan,Henan
